Sample,Assay,Platform,ht,ht_bin,qPCR,qPCR_bin
OR_062420_LITR_04,CCUT,ht,4,1,NA,NA
OR_062420_LITR_04,CHIN,ht,4,1,NA,NA
OR_062420_LITR_04,CHUM,ht,0,0,NA,NA
OR_062420_LITR_04,COHO,ht,4,1,3,1
OR_062420_LITR_04,PALA,ht,4,1,3,1
OR_062420_LITR_04,PINK,ht,0,0,NA,NA
OR_062420_LITR_04,RNBT,ht,4,1,NA,NA
OR_062420_LITR_04,SOCK,ht,0,0,NA,NA
OR_062420_LITR_05,BRKT,ht,0,0,NA,NA
OR_062420_LITR_05,BUL2,ht,0,0,NA,NA
OR_062420_LITR_05,CCUT,ht,0,0,NA,NA
OR_062420_LITR_05,CHIN,ht,1,0,NA,NA
OR_062420_LITR_05,CHUM,ht,0,0,NA,NA
OR_062420_LITR_05,COHO,ht,0,0,3,1
OR_062420_LITR_05,PALA,ht,4,1,3,1
OR_062420_LITR_05,PINK,ht,0,0,NA,NA
OR_062420_LITR_05,RNBT,ht,4,1,NA,NA
OR_062420_LITR_05,SOCK,ht,0,0,NA,NA
OR_072020_LITR_08,BRKT,ht,0,0,NA,NA
OR_072020_LITR_08,BUL2,ht,0,0,NA,NA
OR_072020_LITR_08,CCUT,ht,0,0,NA,NA
OR_072020_LITR_08,CHIN,ht,0,0,NA,NA
OR_072020_LITR_08,CHUM,ht,0,0,NA,NA
OR_072020_LITR_08,COHO,ht,0,0,0,0
OR_072020_LITR_08,PALA,ht,0,0,0,0
OR_072020_LITR_08,PINK,ht,0,0,NA,NA
OR_072020_LITR_08,RNBT,ht,4,1,NA,NA
OR_072020_LITR_08,SOCK,ht,0,0,NA,NA
OR_072020_LITR_10,BRKT,ht,0,0,NA,NA
OR_072020_LITR_10,BUL2,ht,0,0,NA,NA
OR_072020_LITR_10,CCUT,ht,0,0,NA,NA
OR_072020_LITR_10,CHIN,ht,0,0,NA,NA
OR_072020_LITR_10,CHUM,ht,0,0,NA,NA
OR_072020_LITR_10,COHO,ht,3,1,0,0
OR_072020_LITR_10,PALA,ht,0,0,0,0
OR_072020_LITR_10,PINK,ht,4,1,NA,NA
OR_072020_LITR_10,RNBT,ht,0,0,NA,NA
OR_072020_LITR_10,SOCK,ht,4,1,NA,NA
OR_072320_LITR_06,BRKT,ht,0,0,NA,NA
OR_072320_LITR_06,BUL2,ht,0,0,NA,NA
OR_072320_LITR_06,CCUT,ht,0,0,NA,NA
OR_072320_LITR_06,CHIN,ht,0,0,NA,NA
OR_072320_LITR_06,CHUM,ht,0,0,NA,NA
OR_072320_LITR_06,COHO,ht,1,0,0,0
OR_072320_LITR_06,PALA,ht,0,0,0,0
OR_072320_LITR_06,PINK,ht,0,0,NA,NA
OR_072320_LITR_06,RNBT,ht,4,1,NA,NA
OR_072320_LITR_06,SOCK,ht,0,0,NA,NA
OR_072320_LITR_07,BRKT,ht,0,0,NA,NA
OR_072320_LITR_07,BUL2,ht,0,0,NA,NA
OR_072320_LITR_07,CCUT,ht,0,0,NA,NA
OR_072320_LITR_07,CHIN,ht,0,0,NA,NA
OR_072320_LITR_07,CHUM,ht,0,0,NA,NA
OR_072320_LITR_07,COHO,ht,0,0,0,0
OR_072320_LITR_07,PALA,ht,0,0,0,0
OR_072320_LITR_07,PINK,ht,0,0,NA,NA
OR_072320_LITR_07,RNBT,ht,0,0,NA,NA
OR_072320_LITR_07,SOCK,ht,0,0,NA,NA
OR_072320_LITR_09,BRKT,ht,4,1,NA,NA
OR_072320_LITR_09,BUL2,ht,0,0,NA,NA
OR_072320_LITR_09,CCUT,ht,0,0,NA,NA
OR_072320_LITR_09,CHIN,ht,0,0,NA,NA
OR_072320_LITR_09,CHUM,ht,0,0,NA,NA
OR_072320_LITR_09,COHO,ht,0,0,0,0
OR_072320_LITR_09,PALA,ht,0,0,0,0
OR_072320_LITR_09,PINK,ht,0,0,NA,NA
OR_072320_LITR_09,RNBT,ht,4,1,NA,NA
OR_072320_LITR_09,SOCK,ht,0,0,NA,NA
WA_020117_SNY_01,BRKT,ht,0,0,NA,NA
WA_020117_SNY_01,BUL2,ht,0,0,NA,NA
WA_020117_SNY_01,CCUT,ht,4,1,3,1
WA_020117_SNY_01,CHIN,ht,0,0,0,0
WA_020117_SNY_01,CHUM,ht,4,1,NA,NA
WA_020117_SNY_01,COHO,ht,3,1,NA,NA
WA_020117_SNY_01,PALA,ht,0,0,NA,NA
WA_020117_SNY_01,PINK,ht,0,0,NA,NA
WA_020117_SNY_01,RNBT,ht,0,0,0,0
WA_020117_SNY_01,SOCK,ht,0,0,NA,NA
WA_020217_ELLS_08,BRKT,ht,0,0,NA,NA
WA_020217_ELLS_08,BUL2,ht,0,0,NA,NA
WA_020217_ELLS_08,CCUT,ht,4,1,3,1
WA_020217_ELLS_08,CHIN,ht,0,0,0,0
WA_020217_ELLS_08,CHUM,ht,4,1,NA,NA
WA_020217_ELLS_08,COHO,ht,4,1,NA,NA
WA_020217_ELLS_08,PALA,ht,0,0,NA,NA
WA_020217_ELLS_08,PINK,ht,0,0,NA,NA
WA_020217_ELLS_08,RNBT,ht,0,0,0,0
WA_020217_ELLS_08,SOCK,ht,0,0,NA,NA
WA_020217_MSSN_09,BRKT,ht,0,0,NA,NA
WA_020217_MSSN_09,BUL2,ht,0,0,NA,NA
WA_020217_MSSN_09,CCUT,ht,4,1,3,1
WA_020217_MSSN_09,CHIN,ht,0,0,0,0
WA_020217_MSSN_09,CHUM,ht,3,1,NA,NA
WA_020217_MSSN_09,COHO,ht,0,0,NA,NA
WA_020217_MSSN_09,PALA,ht,0,0,NA,NA
WA_020217_MSSN_09,PINK,ht,0,0,NA,NA
WA_020217_MSSN_09,RNBT,ht,0,0,0,0
WA_020217_MSSN_09,SOCK,ht,0,0,NA,NA
WA_020217_SCHN_07,BRKT,ht,0,0,NA,NA
WA_020217_SCHN_07,BUL2,ht,0,0,NA,NA
WA_020217_SCHN_07,CCUT,ht,4,1,3,1
WA_020217_SCHN_07,CHIN,ht,0,0,0,0
WA_020217_SCHN_07,CHUM,ht,4,1,NA,NA
WA_020217_SCHN_07,COHO,ht,4,1,NA,NA
WA_020217_SCHN_07,PALA,ht,0,0,NA,NA
WA_020217_SCHN_07,PINK,ht,0,0,NA,NA
WA_020217_SCHN_07,RNBT,ht,4,1,0,0
WA_020217_SCHN_07,SOCK,ht,0,0,NA,NA
WA_020217_SWF_04,BRKT,ht,0,0,NA,NA
WA_020217_SWF_04,BUL2,ht,0,0,NA,NA
WA_020217_SWF_04,CCUT,ht,4,1,3,1
WA_020217_SWF_04,CHIN,ht,1,0,0,0
WA_020217_SWF_04,CHUM,ht,1,0,NA,NA
WA_020217_SWF_04,COHO,ht,4,1,NA,NA
WA_020217_SWF_04,PALA,ht,0,0,0,0
WA_020217_SWF_04,PINK,ht,0,0,NA,NA
WA_020217_SWF_04,RNBT,ht,1,0,3,1
WA_020217_SWF_04,SOCK,ht,0,0,NA,NA
WA_112015_HAMI_01,BRKT,ht,0,0,NA,NA
WA_112015_HAMI_01,BUL2,ht,0,0,NA,NA
WA_112015_HAMI_01,CCUT,ht,0,0,NA,NA
WA_112015_HAMI_01,CHIN,ht,4,1,NA,NA
WA_112015_HAMI_01,CHUM,ht,4,1,3,1
WA_112015_HAMI_01,COHO,ht,4,1,NA,NA
WA_112015_HAMI_01,PALA,ht,4,1,NA,NA
WA_112015_HAMI_01,PINK,ht,0,0,NA,NA
WA_112015_HAMI_01,RNBT,ht,4,1,NA,NA
WA_112015_HAMI_01,SOCK,ht,0,0,NA,NA
WA_112015_HAMI_02,BRKT,ht,0,0,NA,NA
WA_112015_HAMI_02,BUL2,ht,0,0,NA,NA
WA_112015_HAMI_02,CCUT,ht,4,1,NA,NA
WA_112015_HAMI_02,CHIN,ht,4,1,NA,NA
WA_112015_HAMI_02,CHUM,ht,4,1,3,1
WA_112015_HAMI_02,COHO,ht,4,1,NA,NA
WA_112015_HAMI_02,PALA,ht,4,1,NA,NA
WA_112015_HAMI_02,PINK,ht,0,0,NA,NA
WA_112015_HAMI_02,RNBT,ht,4,1,NA,NA
WA_112015_HAMI_02,SOCK,ht,0,0,NA,NA
WA_112015_HAMI_03,BRKT,ht,0,0,NA,NA
WA_112015_HAMI_03,BUL2,ht,0,0,NA,NA
WA_112015_HAMI_03,CCUT,ht,0,0,NA,NA
WA_112015_HAMI_03,CHIN,ht,4,1,NA,NA
WA_112015_HAMI_03,CHUM,ht,4,1,3,1
WA_112015_HAMI_03,COHO,ht,4,1,NA,NA
